metric,synthesizer,Orig,PrivGen,metric_category
close_values_probability.score,tvae,0.9353293413173652,0.9269461077844312,sanity
nearest_syn_neighbor_distance.mean,adsgan,0.0688891603380729,0.0655257574756643,sanity
nearest_syn_neighbor_distance.mean,arf,0.1076752838454342,0.0649746702206736,sanity
nearest_syn_neighbor_distance.mean,ctgan,0.0834106950891937,0.0675955360491234,sanity
nearest_syn_neighbor_distance.mean,ddpm,0.5212698483867552,0.1998746823860859,sanity
nearest_syn_neighbor_distance.mean,decaf,0.0852350711239748,0.0801136803191069,sanity
nearest_syn_neighbor_distance.mean,dpgan,0.1061951973492502,0.1507716426661776,sanity
nearest_syn_neighbor_distance.mean,pategan,0.1162873792159921,0.0832679808040377,sanity
nearest_syn_neighbor_distance.mean,rtvae,0.0819864123598769,0.079738277959953,sanity
nearest_syn_neighbor_distance.mean,tvae,0.0701210576994151,0.0699912797794425,sanity
alpha_precision.authenticity_naive,adsgan,0.5532934131736527,0.5544910179640719,stats
alpha_precision.authenticity_naive,arf,0.5664670658682635,0.5401197604790419,stats
alpha_precision.authenticity_naive,ctgan,0.6,0.5676646706586826,stats
alpha_precision.authenticity_naive,ddpm,1.0,0.9676646706586828,stats
alpha_precision.authenticity_naive,decaf,0.5592814371257485,0.5520958083832336,stats
alpha_precision.authenticity_naive,dpgan,1.0,1.0,stats
alpha_precision.authenticity_naive,pategan,0.7880239520958083,0.7125748502994012,stats
alpha_precision.authenticity_naive,rtvae,0.5748502994011976,0.5700598802395209,stats
alpha_precision.authenticity_naive,tvae,0.5317365269461077,0.5161676646706587,stats
chi_squared_test.marginal,adsgan,0.6326797375872333,0.3880123204735769,stats
chi_squared_test.marginal,arf,0.5917522484002449,0.403692094078407,stats
chi_squared_test.marginal,ctgan,0.6145688916490966,0.3767635390848823,stats
chi_squared_test.marginal,ddpm,0.399075516151986,0.2324426424152002,stats
chi_squared_test.marginal,decaf,0.1912100632693517,0.1654167066644438,stats
chi_squared_test.marginal,dpgan,0.5874773913915416,0.3603508172515504,stats
chi_squared_test.marginal,pategan,0.6752139482848039,0.3762173125178238,stats
chi_squared_test.marginal,rtvae,0.3993071973154949,0.3042446258595671,stats
chi_squared_test.marginal,tvae,0.3173639173927401,0.3134245901617536,stats
inv_kl_divergence.marginal,adsgan,0.9411658695765132,0.912775228222781,stats
inv_kl_divergence.marginal,arf,0.9757352513617612,0.932556583509254,stats
inv_kl_divergence.marginal,ctgan,0.9342856403608224,0.912984219626025,stats
inv_kl_divergence.marginal,ddpm,0.7358717913061854,0.7117423006930554,stats
inv_kl_divergence.marginal,decaf,0.7299281425705545,0.7410113459334124,stats
inv_kl_divergence.marginal,dpgan,0.7840828026126047,0.7553013513277851,stats
inv_kl_divergence.marginal,pategan,0.9202873379237828,0.9092458384674694,stats
inv_kl_divergence.marginal,rtvae,0.8532242062084883,0.8320255602611495,stats
inv_kl_divergence.marginal,tvae,0.8893954138545637,0.8730128668500959,stats
jensenshannon_dist.marginal,adsgan,0.0036289582344536,0.0041387542557019,stats
jensenshannon_dist.marginal,arf,0.0027639314190806,0.0027469089243588,stats
jensenshannon_dist.marginal,ctgan,0.0059546336926577,0.0041606616249074,stats
jensenshannon_dist.marginal,ddpm,0.0290069717540641,0.0180069469546762,stats
jensenshannon_dist.marginal,decaf,0.0075403348774856,0.0100479644088204,stats
jensenshannon_dist.marginal,dpgan,0.1337615540009242,0.1132270798296514,stats
jensenshannon_dist.marginal,pategan,0.00999375009389,0.0075894692663106,stats
jensenshannon_dist.marginal,rtvae,0.0079335081678799,0.0068347036997895,stats
jensenshannon_dist.marginal,tvae,0.0069882623976442,0.0067939982861667,stats
ks_test.marginal,adsgan,0.90542248835662,0.928443113772455,stats
ks_test.marginal,arf,0.9513306719893544,0.960113107119095,stats
ks_test.marginal,ctgan,0.9016633399866932,0.928975382568197,stats
ks_test.marginal,ddpm,0.8035262807717897,0.8661676646706586,stats
ks_test.marginal,decaf,0.8845974717232202,0.918263473053892,stats
ks_test.marginal,dpgan,0.2892548236859614,0.402694610778443,stats
ks_test.marginal,pategan,0.8691616766467065,0.898003992015968,stats
ks_test.marginal,rtvae,0.9037924151696608,0.8746174318030605,stats
ks_test.marginal,tvae,0.8974051896207585,0.9261809713905522,stats
max_mean_discrepancy.joint,adsgan,0.0030492668352175,0.0034016627966278,stats
max_mean_discrepancy.joint,arf,0.002594970740539,0.0024846834046778,stats
max_mean_discrepancy.joint,ctgan,0.0033578203034429,0.0034516896878402,stats
max_mean_discrepancy.joint,ddpm,0.0043163790465367,0.0071282050565708,stats
max_mean_discrepancy.joint,decaf,0.0050657896507364,0.0069416883409461,stats
max_mean_discrepancy.joint,dpgan,0.003213938065118,0.0108367951507902,stats
max_mean_discrepancy.joint,pategan,0.0096542648572621,0.0122084841584481,stats
max_mean_discrepancy.joint,rtvae,0.0067444253131116,0.0078868363152671,stats
max_mean_discrepancy.joint,tvae,0.0031743634279318,0.0035737652438524,stats
prdc.coverage,adsgan,0.8335329341317366,0.770059880239521,stats
prdc.coverage,arf,0.9149700598802396,0.8658682634730539,stats
prdc.coverage,ctgan,0.6982035928143713,0.829940119760479,stats
prdc.coverage,ddpm,0.0035928143712574,0.0167664670658682,stats
prdc.coverage,decaf,0.3664670658682635,0.4718562874251497,stats
prdc.coverage,dpgan,0.0023952095808383,0.0023952095808383,stats
prdc.coverage,pategan,0.2838323353293413,0.3497005988023952,stats
prdc.coverage,rtvae,0.4431137724550898,0.4514970059880239,stats
prdc.coverage,tvae,0.7712574850299401,0.7461077844311377,stats
prdc.density,adsgan,0.7803592814371259,0.8268263473053893,stats
prdc.density,arf,0.7346107784431138,0.7805988023952096,stats
prdc.density,ctgan,0.7113772455089821,0.955688622754491,stats
prdc.density,ddpm,0.0215568862275449,0.1106586826347305,stats
prdc.density,decaf,0.6019161676646707,1.0380838323353294,stats
prdc.density,dpgan,0.0050299401197604,0.0043113772455089,stats
prdc.density,pategan,0.8337724550898203,0.3815568862275449,stats
prdc.density,rtvae,0.7377245508982037,0.8831137724550898,stats
prdc.density,tvae,0.8526946107784431,0.914251497005988,stats
prdc.precision,adsgan,0.8994011976047904,0.917365269461078,stats
prdc.precision,arf,0.8766467065868263,0.8934131736526946,stats
prdc.precision,ctgan,0.8874251497005988,0.9473053892215568,stats
prdc.precision,ddpm,0.1077844311377245,0.2502994011976048,stats
prdc.precision,decaf,0.8431137724550898,0.9245508982035928,stats
prdc.precision,dpgan,0.0239520958083832,0.0203592814371257,stats
prdc.precision,pategan,0.9089820359281438,0.6850299401197605,stats
prdc.precision,rtvae,0.8634730538922155,0.9473053892215568,stats
prdc.precision,tvae,0.9221556886227544,0.9389221556886228,stats
prdc.recall,adsgan,0.8994011976047904,0.8107784431137725,stats
prdc.recall,arf,0.97125748502994,0.8730538922155688,stats
prdc.recall,ctgan,0.8514970059880239,0.7964071856287425,stats
prdc.recall,ddpm,0.0035928143712574,0.5029940119760479,stats
prdc.recall,decaf,0.3245508982035928,0.5329341317365269,stats
prdc.recall,dpgan,0.0011976047904191,0.0,stats
prdc.recall,pategan,0.9413173652694612,0.8526946107784431,stats
prdc.recall,rtvae,0.3293413173652694,0.2898203592814371,stats
prdc.recall,tvae,0.7724550898203593,0.7017964071856287,stats
wasserstein_dist.joint,adsgan,0.1716174025744112,0.1723766546201936,stats
wasserstein_dist.joint,arf,0.1593136445578834,0.15942025349465,stats
wasserstein_dist.joint,ctgan,0.2538609043911762,0.1618530269380086,stats
wasserstein_dist.joint,ddpm,2.4672561124211216,0.7920522261004124,stats
wasserstein_dist.joint,decaf,0.2753904640763914,0.3207902377714199,stats
wasserstein_dist.joint,dpgan,9.142046573258362,6.716037803886723,stats
wasserstein_dist.joint,pategan,0.438814900275189,0.3016152595929384,stats
wasserstein_dist.joint,rtvae,0.2417432817296089,0.207696310064084,stats
wasserstein_dist.joint,tvae,0.2339182412437733,0.2190767141411329,stats
