metric,synthesizer,Orig,PrivGen,metric_category
max_mean_discrepancy.joint,ddpm,0.0023570419611598,0.0023452342686034,stats
prdc.coverage,ddpm,0.964,0.9288025889967636,stats
prdc.density,ddpm,0.852,0.943042071197411,stats
prdc.precision,ddpm,0.987,0.9989212513484358,stats
prdc.recall,ddpm,0.993,0.9611650485436892,stats
wasserstein_dist.joint,ddpm,0.5226788628874457,0.5057895059709467,stats
delta-presence.score,arf,4.999999950000001,3.249999991875,privacy
distinct l-diversity.syn,arf,11.00000001,17.00000001,privacy
k-anonymization.syn,arf,11.00000001,17.00000001,privacy
k-map.score,arf,1.0,4.0,privacy
close_values_probability.score,arf,0.999,0.9805825242718448,sanity
nearest_syn_neighbor_distance.mean,arf,0.0063362920238493,0.0123095177328265,sanity
alpha_precision.authenticity_naive,arf,0.519,0.4919093851132686,stats
chi_squared_test.marginal,arf,0.9467645966594976,0.9480448887982916,stats
inv_kl_divergence.marginal,arf,0.9923942178634948,0.9763380962620232,stats
jensenshannon_dist.marginal,arf,0.0037313590510651,0.0040486764033895,stats
ks_test.marginal,arf,0.973904761904762,0.9753428879642472,stats
max_mean_discrepancy.joint,arf,0.0019999998736799,0.0021574973030646,stats
prdc.coverage,arf,0.955,0.9449838187702264,stats
prdc.density,arf,0.9838,1.0094929881337649,stats
prdc.precision,arf,0.986,0.989212513484358,stats
prdc.recall,arf,0.994,0.965480043149946,stats
wasserstein_dist.joint,arf,0.4483525273151713,0.4583639945773262,stats
